"genotype","collection_date","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","gb_location","active"
"APAL34",2023-04-20,"Seatons Mount",17.114402,-61.69426,"","","","N"
"APAL35",2023-04-12,"Snapper Point",17.002914,-61.767806,"","","","N"
"APAL36",2023-04-12,"Snapper Point",17.003621,-61.766183,"","","","N"
"APAL37",2023-04-12,"Snapper Point",17.003168,-61.766941,"","","York_E1","Y"
"APAL38",2023-04-12,"Pillars of Hercules",NA,NA,"","","","N"
"APAL39",2023-04-18,"Devil's Bridge",17.102275,-61.677369,"","","","N"
"APAL40",2023-04-18,"Seatons Mount",17.11409,-61.694696,"","","","N"
"APAL41",2023-04-18,"Seatons Mount",17.114394,-61.695376,"","","","N"
"APAL42",2023-04-20,"Seatons Mount",17.114915,-61.694751,"","","","N"
"APAL44",2023-04-20,"The Cut",17.09219,-61.673325,"","","York_F1","Y"
"APAL45",2024-02-20,"Seatons",NA,NA,"","","","N"
"APAL46",2024-02-20,"Seatons",NA,NA,"E7","","York_F1","Y"
"APAL47",2024-02-20,"Seatons",NA,NA,"","","","N"
"APAL48",2024-02-20,"Seatons",NA,NA,"F7","","York_F1","Y"
"APAL49",2024-01-13,"Great Bird",17.147692,-61.722964,"F8","","","Y"
"APAL50",2024-01-13,"Great Bird",17.147024,-61.72304,"F9","","York_F1","Y"
"APAL51",2024-01-13,"Great Bird",17.146803,-61.723016,"D7","","York_F1","Y"
"APAL52",2024-01-14,"Hells Gate",17.141192,-61.721318,"E8","","York_F1","Y"
"APAL53",2024-01-14,"Hells Gate",17.141968,-61.720936,"C9","","York_E1","Y"
"APAL54",2024-01-14,"Hells Gate",17.14093,-61.721243,"D8","","York_E1","Y"
"APAL57",2024-03-20,"Seatons Mount",NA,NA,"C6","","York_E1","Y"
"APAL58",2024-03-20,"Seatons Mount",NA,NA,"D6","","York_E1","Y"
"APAL59",2024-03-20,"Seatons Mount",NA,NA,"F7","","York_E1","Y"
"APAL60",2024-03-20,"Seatons Mount",NA,NA,"D5","","York_E1","Y"
"APRO",2024-03-20,"Seatons Mount",NA,NA,"","","","N"
"APRO01",2021-07-20,"North Green",17.07466667,-61.66486667,"F2","","York_C1","Y"
"APRO02",2021-07-21,"Little Bird Channel",17.16483,-61.73036,"","","","N"
"APRO03",2021-07-21,"Hells Gate",17.14175,-61.72192,"","","","N"
"APRO04",2021-07-21,"Hells Gate",17.140289,-61.721907,"","","York_C1","Y"
"APRO05",2021-07-22,"Man of War",17.06586,-61.6627,"C4, E6","A6, B9, A10","York_C1","Y"
"APRO06",2021-07-28,"Hells Gate",17.14029,-61.72078,"","","","N"
"APRO07",2021-07-28,"Great Bird",17.14704,-61.72285,"E2","","York_C1","Y"
"APRO10",2023-04-20,"The Cut",17.092099,-61.673054,"D2","","York_C1","Y"
"APRO11",2021-11-10,"South Hells Gate",17.13665,-61.721875,"","","","N"
"APRO13",2022-01-25,"North Green",17.090857,-61.674076,"","ST","","Y"
"APRO14",2024-02-04,"Little bird island west",17.155532,-61.743487,"","","","N"
"CNAT01",2023-02-18,"North Green",17.075836,-61.668449,"","B1","TPB_A4","Y"
"CNAT02",2023-02-19,"Ten Pound Bay",17.067625,-61.664182,"","","TPB_A4","Y"
"CNAT03",2024-02-04,"Bird island west",17.147459,-61.72733,"","B1","TPB_A4","Y"
"DCYL01",2023-02-20,"Maiden Island",17.144964,-61.761182,"","B1","TPB_A4","Y"
"DLAB01",2023-02-18,"North Green",17.075835,-61.668515,"","B1","TPB_A4","Y"
"DLAB02",2023-02-19,"Ten Pound Bay",17.068005,-61.664284,"","B1","TPB_A4","Y"
"DLAB03",2024-02-04,"Pierce shoals",17.157526,-61.767162,"","B1","TPB_A4","Y"
"DLAB04",2024-02-04,"Little bird island west",17.15637,-61.743637,"","B1","TPB_A4","Y"
"DLAB05",2024-02-04,"Bird island west",17.147467,-61.727317,"","B1","TPB_A4","Y"
"MCAV01",2023-02-19,"Ten Pound Bay",17.067501,-61.664362,"","B1","TPB_A4","Y"
"MCAV02",2024-02-04,"Pierce shoals",17.156763,-61.768185,"","B1","TPB_A4","Y"
"OANN01",2023-02-18,"North Green",17.075544,-61.668307,"","B1","TPB_A4","Y"
"OANN02",2023-02-19,"Ten Pound Bay",17.067682,-61.664259,"","B1","TPB_A4","Y"
"OANN03",2024-02-04,"Pierce shoals",17.157043,-61.768088,"","B1","TPB_A4","Y"
"OANN04",2024-02-04,"Bird island west",17.148331,-61.726094,"","B1","TPB_A4","Y"
"OANN05",2024-02-04,"Little bird island west",17.156023,-61.743566,"","B1","TPB_A4","Y"
"OANN06",2024-02-04,"Little bird island west",17.156882,-61.743801,"","B1","TPB_A4","Y"
"OANN07",2024-02-04,"Bird island west",17.147473,-61.72751,"","B1","TPB_A4","Y"
"OFAV01",2023-02-18,"North Green",17.075454,-61.668341,"","B1","TPB_A4","Y"
"OFAV02",2023-02-19,"Ten Pound Bay",17.067712,-61.664145,"","B1","TPB_A4","Y"
"OFAV03",2024-02-04,"Little bird island west",17.156178,-61.743585,"","B1","TPB_A4","Y"
"OFAV04",2024-02-04,"Little bird island west",17.156786,-61.743892,"","B1","TPB_A4","Y"
"OFAV05",2024-02-04,"Bird island west",17.148268,-61.726106,"","","TPB_A4","Y"
"OFAV06",2024-02-04,"Pierce shoals",17.157415,-61.767162,"","B1","TPB_A4","Y"
"OFRA01",2024-02-04,"Little bird island west",17.156678,-61.743689,"","","TPB_A4","Y"
"PCLI01",2023-02-20,"Maiden Island",17.145118,-61.761108,"","","TPB_A4","Y"
"PCLI02",2023-02-20,"Long Island",17.155647,-61.741375,"","","TPB_A4","Y"
"PCLI03",2024-02-04,"Pierce shoals",17.157501,-61.767949,"","","TPB_A4","Y"
"PDIV01",2022-01-25,"North Green",17.090285,-61.675178,"","ST","","Y"
"PFUR01",2021-11-27,"Ten Pound Bay",17.068219,-61.664547,"","ST","","Y"
"PFUR02",2021-11-27,"Ten Pound Bay",17.069112,-61.665175,"","ST","","Y"
"PSTR01",2023-02-18,"North Green",17.075518,-61.66829,"","B1","TPB_A4","Y"
"PSTR02",2023-02-19,"Ten Pound Bay",17.067615,-61.664298,"","B1","TPB_A4","Y"
"PSTR03",2023-02-20,"Long Island",17.15552,-61.741356,"","B1","","Y"
"PSTR04",2024-02-04,"Pierce shoals",17.157585,-61.768095,"","","","N"
"PSTR05",2024-02-04,"Little bird island west",17.156855,-61.74382,"","B1","","Y"
"PSTR06",2024-02-04,"Little bird island west",17.155532,-61.743487,"","","","N"
"PSTR07",2024-02-04,"Bird island west",17.148213,-61.727056,"","B1","","Y"
