lon,lat,time,u,v,wind_speed_ms,wind_speed_kn,time_converted,date
-61.8125,16.9375,1732212000,-2.630000114440918,3.069999933242798,4.042499250719785,7.857971743519147,2024-11-21T18:00:00Z,2024-11-21
-61.8125,16.9375,1732215600,-2.0899999141693115,3.2699999809265137,3.8808503599710114,7.543752163726051,2024-11-21T19:00:00Z,2024-11-21
-61.8125,16.9375,1732219200,-1.090000033378601,3.2100000381469727,3.3900147960840696,6.5896463612200575,2024-11-21T20:00:00Z,2024-11-21
-61.8125,16.9375,1732222800,-1.3700000047683716,2.9700000286102295,3.27074917763654,6.357813081457012,2024-11-21T21:00:00Z,2024-11-21
-61.8125,16.9375,1732226400,-2.0299999713897705,2.690000057220459,3.3700148652029034,6.550769695576012,2024-11-21T22:00:00Z,2024-11-21
-61.8125,16.9375,1732230000,-2.5199999809265137,2.9100000858306885,3.849480536826267,7.482774246704371,2024-11-21T23:00:00Z,2024-11-21
-61.8125,16.9375,1732233600,-2.3399999141693115,3.2100000381469727,3.9723670327924068,7.721645933023192,2024-11-22T00:00:00Z,2024-11-22
-61.8125,16.9375,1732237200,-2.240000009536743,3.4700000286102295,4.130193729267382,8.028435778699107,2024-11-22T01:00:00Z,2024-11-22
-61.8125,16.9375,1732240800,-2.069999933242798,3.490000009536743,4.0577086872016395,7.887536454530035,2024-11-22T02:00:00Z,2024-11-22
-61.8125,16.9375,1732244400,-1.9500000476837158,1.1399999856948853,2.2587828920351845,4.390712536853673,2024-11-22T03:00:00Z,2024-11-22
-61.8125,16.9375,1732248000,-2.009999990463257,0.8500000238418579,2.182338196108351,4.242116279123257,2024-11-22T04:00:00Z,2024-11-22
-61.8125,16.9375,1732251600,-2.2100000381469727,0.4300000071525574,2.2514440199038526,4.3764469436499045,2024-11-22T05:00:00Z,2024-11-22
-61.8125,16.9375,1732255200,-2.4000000953674316,0.949999988079071,2.581181984113851,5.017404787999868,2024-11-22T06:00:00Z,2024-11-22
-61.8125,16.9375,1732258800,-2.5799999237060547,1.3799999952316284,2.9258844121329437,5.687451155680502,2024-11-22T07:00:00Z,2024-11-22
-61.8125,16.9375,1732262400,-2.25,1.809999942779541,2.8876633794232216,5.613155583458035,2024-11-22T08:00:00Z,2024-11-22
-61.8125,16.9375,1732266000,-2.2799999713897705,1.909999966621399,2.9743065985252932,5.781576138477406,2024-11-22T09:00:00Z,2024-11-22
-61.8125,16.9375,1732269600,-2.5799999237060547,1.9700000286102295,3.246120718495779,6.3099392974408355,2024-11-22T10:00:00Z,2024-11-22
-61.8125,16.9375,1732273200,-3.2300000190734863,1.5299999713897705,3.5740453320666514,6.94737227828444,2024-11-22T11:00:00Z,2024-11-22
