date,wind_speed_ms_mean,wind_speed_kn_mean
2025-01-26,10.674917356932665,20.750331355099995
2025-01-27,9.811795867729698,19.072561279527697
2025-01-28,8.054784965328897,15.657213207004924
2025-01-29,6.730692099901244,13.083388531472036
2025-01-30,7.126109020037899,13.852015757510468
2025-01-31,9.61821292631842,18.6962670146948
2025-02-01,9.916044234370167,19.275203424538105
2025-02-02,9.073385967654085,17.63721057936472
2025-02-03,9.328563734641063,18.133235329944686
2025-02-04,7.9349690193097455,15.424310178495057
2025-02-05,8.106808283229373,15.758338213272584
2025-02-06,9.88290673523599,19.210789428221126
2025-02-07,10.27398145636008,19.970976114130977
2025-02-08,8.802768292848366,17.11117311837037
2025-02-09,9.697835025863169,18.851039636673864
2025-02-10,9.92363035516878,19.289949629591284
2025-02-11,10.210543650671971,19.847663169922203
2025-02-12,11.472305545253722,22.300326411085994
2025-02-13,11.733034847850927,22.807142458646545
2025-02-14,11.166578542414172,21.706042033886362
2025-02-15,10.796645391238505,20.986951177305052
2025-02-16,10.329398214744845,20.07869742574962
2025-02-17,9.681280485337064,18.818860258617597
2025-02-18,10.009204580031259,19.45629223084796
2025-02-19,9.48514465416189,18.437603584546046
2025-02-20,10.049026613960411,19.533699893280804
2025-02-21,8.221146893958544,15.980594178352375
2025-02-22,8.176654677837599,15.894108428967838
2025-02-23,8.466741523302295,16.45799084265593
2025-02-24,9.058940309980992,17.60913053215345
2025-02-25,8.991710953802256,17.47844742043898
2025-02-26,8.580392902565146,16.678910939722233
2025-02-27,7.585747596636916,14.745479608246702
2025-02-28,8.278709075465455,16.09248584925277
2025-03-01,9.558824696423608,18.580825797896065
2025-03-02,9.598119793175323,18.65720917876592
2025-03-03,7.4094341367112735,14.402754452304842
2025-03-04,7.103476086391725,13.808020955771688
2025-03-05,6.882044437504261,13.377593259398282
2025-03-06,7.735725009412587,15.037011702296564
2025-03-07,5.883048870010067,11.435705715480369
2025-03-08,5.481690493022651,10.65552924795715
2025-03-09,5.960686279517305,11.586620417576919
2025-03-10,6.627621761204747,12.883036284300236
2025-03-11,7.7455534962489665,15.05611670814859
2025-03-12,6.585764859403494,12.801673164302889
2025-03-13,4.823417049086833,9.37595099669695
2025-03-14,5.82821710746856,11.329121542181685
2025-03-15,4.487723901908607,8.723417229486026
2025-03-16,2.003315001229822,3.8941238319905773
2025-03-17,2.6248913094484903,5.102368722958353
2025-03-18,2.263990556243182,4.400835402847746
2025-03-19,2.6877693698847183,5.224593611956711
