"genotype","collection_site","collection_lat","collection_lon","york_locations","tpb_locations","n_trees","n_ropes","outplant_colonies","york_colonies","tpb_colonies","ricketts_colonies","survivorship","se"
"APAL10","Great Bird",17.14898,-61.72344,"C7","",1,0,0,0,15,14,85.42,2.08
"APAL11","Hells Gate",17.14121,-61.7214,"D7","",1,0,0,15,0,10,77.45,10.78
"APAL12","Hells Gate",17.13962,-61.72119,"A8","",1,0,0,17,0,14,91.4,1.93
"APAL13","Man of War",17.065383,-61.662417,"B5, F7","A1",2,1,30,11,10,9,46.75,4.89
"APAL14","Man of War",17.06577,-61.66278,"B8","",1,0,42,20,8,14,51.92,14.45
"APAL15","York Island",17.05256,-61.66769,"C8","",1,0,61,20,30,11,72.83,9.48
"APAL16","York Island",17.05228,-61.66991,"D7","",1,0,0,13,0,14,93.75,6.25
"APAL17","Hells Gate",17.14219,-61.7216,"D9","",1,0,0,8,0,8,100,0
"APAL18","Hells Gate",17.1406,-61.7211,"D9","",1,0,43,14,18,11,89.32,2.54
"APAL19","Hells Gate",17.13997,-61.72181,"","",0,0,0,5,0,0,100,NA
"APAL20","Hells Gate",17.13969,-61.72385,"C8","",1,0,0,0,0,0,NA,NA
"APAL21","Great Bird",17.148231,-61.723195,"","",0,0,0,16,0,0,100,NA
"APAL22","Great Bird",17.147896,-61.723116,"","",0,0,0,7,0,0,77.78,NA
"APAL23","Great Bird",17.14703,-61.72286,"C5","",0,1,34,15,14,5,81.55,16.16
"APAL24","Hells Gate",17.139911,-61.721393,"","A1",1,0,0,0,3,0,42.86,NA
"APAL26","Man of War",17.06555,-61.662967,"A7","",1,0,0,32,0,10,69.23,30.77
"APAL28","South Hells gate",17.137205,-61.719345,"","",0,0,0,0,14,0,73.68,NA
"APAL31","Indian Creek",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL32","Snapper Point",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL33","Snapper Point",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL34","Indian Creek",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL35","Snapper Point",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL36","Snapper Point",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL37","Snapper Point",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL38","(NPA nursery)",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL39","Devil's Bridge",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL40","Seatons mount",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APAL41","Seatons mount",NA,NA,"","",0,0,0,0,0,0,NA,NA
"APRO01","North Green",17.07466667,-61.66486667,"F2, C4","",0,2,0,0,4,2,81.25,11.25
"APRO02","Little Bird Channel",17.16483,-61.73036,"","",0,0,0,0,0,0,NA,NA
"APRO03","Hells Gate",17.14175,-61.72192,"D8","",1,0,0,0,4,0,92.5,NA
"APRO04","Hells Gate",17.140289,-61.721907,"E2, B4, C6","",0,3,70,22,33,15,77.28,8.55
"APRO05","Man of War",17.06586,-61.6627,"C4","B9",0,2,0,13,0,5,97.37,1.09
"APRO06","Hells Gate",17.14029,-61.72078,"D8","B5, B7",1,2,43,29,9,5,83.97,7.5
"APRO07","Great Bird",17.14704,-61.72285,"D4","",0,1,0,4,0,14,95.36,4.64
"APRO11","South Hells gate",17.13665,-61.721875,"","",0,0,0,0,16,0,46.71,16.86
"APRO13","North Green",17.090857,-61.674076,"","",0,0,0,0,0,0,NA,NA
"CNAT01","North Green",NA,NA,"","",0,0,0,0,0,0,NA,NA
"CNAT02","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"DCYL01","Maiden Island",NA,NA,"","",0,0,0,0,0,0,NA,NA
"DLAB01","North Green",NA,NA,"","",0,0,0,0,0,0,NA,NA
"DLAB02","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"MCAV01","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"OANN01","North Green",NA,NA,"","",0,0,0,0,0,0,NA,NA
"OANN02","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"OFAV01","North Green",NA,NA,"","",0,0,0,0,0,0,NA,NA
"OFAV02","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"PCLI01","Maiden Island",NA,NA,"","",0,0,0,0,0,0,NA,NA
"PCLI02","Long Island",NA,NA,"","",0,0,0,0,0,0,NA,NA
"PFUR01","Ten Pound Bay",17.068219,-61.664547,"","",0,0,0,0,0,0,NA,NA
"PFUR02","Ten Pound Bay",17.069112,-61.665175,"","",0,0,0,0,0,0,NA,NA
"PFUR03","North Green",17.090285,-61.675178,"","",0,0,0,0,0,0,NA,NA
"PSTR01","North Green",NA,NA,"","",0,0,0,0,0,0,NA,NA
"PSTR02","Ten Pound Bay",NA,NA,"","",0,0,0,0,0,0,NA,NA
"PSTR03","Long Island",NA,NA,"","",0,0,0,0,0,0,NA,NA
NA,"Seatons mount",NA,NA,"","",0,0,0,0,0,0,NA,NA
NA,"Seatons mount",NA,NA,"","",0,0,0,0,0,0,NA,NA
NA,"The Cut",NA,NA,"","",0,0,0,0,0,0,NA,NA
NA,"The Cut",NA,NA,"","",0,0,0,0,0,0,NA,NA
